code_id,code_name,first_appearance,evolution_notes,frequency,interview_progression,saturation_point
C1.1,Qualitative Analysis Automation,Interview 001,Identified through global analysis,15,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 013, Interview 014, Interview 015, Interview 018",Interview 014
C1.1.1,AI Transcription,Interview 001,Identified through global analysis,7,"Interview 001, Interview 005, Interview 009, Interview 010, Interview 011, Interview 014, Interview 015",Interview 014
C1.1.2,AI Coding,Interview 001,Identified through global analysis,12,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 009, Interview 010, Interview 011, Interview 013, Interview 014, Interview 015",Interview 014
C1.1.3,AI Thematic Analysis,Interview 001,Identified through global analysis,6,"Interview 001, Interview 004, Interview 009, Interview 010, Interview 011, Interview 014",Interview 014
C1.1.4,AI De-identification,Interview 004,Identified through global analysis,3,"Interview 004, Interview 006, Interview 014",Interview 014
C1.1.5,AI Quote Tracing,Interview 003,Identified through global analysis,1,Interview 003,Interview 014
C1.2,Literature Review Automation,Interview 001,Identified through global analysis,15,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 013, Interview 014, Interview 015, Interview 018",Interview 014
C1.2.1,AI Search Strategy,Interview 001,Identified through global analysis,3,"Interview 001, Interview 004, Interview 009",Interview 014
C1.2.2,AI Document Summarization,Interview 003,Identified through global analysis,7,"Interview 003, Interview 005, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011",Interview 014
C1.2.3,AI Data Extraction,Interview 003,Identified through global analysis,6,"Interview 003, Interview 005, Interview 006, Interview 012, Interview 013, Interview 018",Interview 014
C1.2.4,AI Gap Identification,Interview 009,Identified through global analysis,2,"Interview 009, Interview 018",Interview 014
C1.2.5,AI Source Validation,Interview 005,Identified through global analysis,2,"Interview 005, Interview 009",Interview 014
C1.3,Quantitative Analysis Automation,Interview 001,Identified through global analysis,10,"Interview 001, Interview 003, Interview 005, Interview 006, Interview 009, Interview 012, Interview 013, Interview 014, Interview 016, Interview 018",Interview 014
C1.3.1,AI Code Generation/Correction,Interview 003,Identified through global analysis,6,"Interview 003, Interview 005, Interview 012, Interview 013, Interview 016, Interview 018",Interview 014
C1.3.2,AI Statistical Model Optimization,Interview 003,Identified through global analysis,3,"Interview 003, Interview 009, Interview 012",Interview 014
C1.3.3,AI Data Wrangling,Interview 012,Identified through global analysis,4,"Interview 012, Interview 013, Interview 014, Interview 018",Interview 014
C1.3.4,AI Entity Resolution,Interview 012,Identified through global analysis,1,Interview 012,Interview 014
C1.4,Research Workflow Automation,Interview 003,Identified through global analysis,15,"Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 015, Interview 016, Interview 018",Interview 014
C1.4.1,AI Meeting Minutes,Interview 003,Identified through global analysis,4,"Interview 003, Interview 007, Interview 010, Interview 011",Interview 014
C1.4.2,AI Proposal Writing,Interview 005,Identified through global analysis,7,"Interview 005, Interview 008, Interview 009, Interview 010, Interview 011, Interview 013, Interview 018",Interview 014
