type,name,description,frequency,content,speaker,codes
code,Causal Inference Methods,Techniques and methodologies used for causal inference in research.,1,,,
code,Common Techniques,Specific methods frequently used in causal inference.,1,,,
code,Use at RAND,Frequency and context of causal inference methods used at RAND.,1,,,
code,AI Integration,The role of AI tools in enhancing causal inference work.,1,,,
code,AI for Coding,Using AI tools to assist with coding tasks in causal inference.,1,,,
code,AI for Proposal Writing,Utilizing AI to enhance the proposal writing process.,1,,,
code,AI for Literature Review,Employing AI tools for conducting literature reviews.,1,,,
code,Concerns about AI,Fears and reservations regarding the use of AI tools.,1,,,
code,Intellectual Property Concerns,Worries about the potential infringement of intellectual property when using AI.,1,,,
code,Quality of AI Output,Concerns regarding the reliability and accuracy of AI-generated content.,1,,,
code,Barriers to AI Adoption,Challenges faced in the adoption of AI tools at RAND.,1,,,
code,Cultural Resistance,Hesitation or reluctance to adopt AI tools due to organizational culture.,1,,,
code,Need for Training,The necessity for education and training on AI tools at RAND.,1,,,
quote,,,,"
Interview with Kandice Kapinos, Director Methods Center for Causal Inference




Otter? That tool is used for research. Providers and patients and they are using Otter to take notes and it transcribes and summarizes. 

Tell me about the Methods Center on Causal Inference? Statistics is a pretty broad bucket. I am relatively new in role of Center for Causal Influence, some of the history and what it has done has evolved. Used to be under Pardee and now GER so mission changed but broadly speaking...",Interview Kandice Kapinos,
