code_id,code_name,first_appearance,evolution_notes,frequency,interview_progression,saturation_point
AI_APP_001,AI Qualitative Analysis,Interview 001,Identified through global analysis,12,"Interview 001, Interview 003, Interview 004, Interview 005, Interview 006, Interview 008, Interview 009, Interview 010, Interview 011, Interview 013, Interview 014, Interview 018",Interview 014
AI_APP_001_001,AI Transcription,Interview 001,Identified through global analysis,5,"Interview 001, Interview 005, Interview 009, Interview 014, Interview 017",Interview 014
AI_APP_001_002,AI Coding,Interview 001,Identified through global analysis,10,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 006, Interview 009, Interview 010, Interview 011, Interview 013, Interview 014",Interview 014
AI_APP_001_003,AI Theme Generation,Interview 001,Identified through global analysis,6,"Interview 001, Interview 003, Interview 004, Interview 009, Interview 013, Interview 014",Interview 014
AI_APP_001_004,AI De-identification,Interview 004,Identified through global analysis,3,"Interview 004, Interview 006, Interview 012",Interview 014
AI_APP_002,AI Quantitative Analysis,Interview 001,Identified through global analysis,10,"Interview 001, Interview 003, Interview 005, Interview 006, Interview 007, Interview 009, Interview 012, Interview 013, Interview 015, Interview 018",Interview 014
AI_APP_002_001,AI Data Wrangling,Interview 003,Identified through global analysis,5,"Interview 003, Interview 004, Interview 005, Interview 012, Interview 013",Interview 014
AI_APP_002_002,AI Model Building,Interview 003,Identified through global analysis,4,"Interview 003, Interview 007, Interview 012, Interview 013",Interview 014
AI_APP_002_003,AI Code Generation,Interview 003,Identified through global analysis,6,"Interview 003, Interview 005, Interview 006, Interview 012, Interview 015, Interview 018",Interview 014
AI_APP_003,AI Literature Review,Interview 001,Identified through global analysis,15,"Interview 001, Interview 002, Interview 003, Interview 004, Interview 005, Interview 006, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 013, Interview 015, Interview 016, Interview 018",Interview 014
AI_APP_003_001,AI Search Strategy,Interview 001,Identified through global analysis,5,"Interview 001, Interview 004, Interview 009, Interview 010, Interview 011",Interview 014
AI_APP_003_002,AI Document Extraction,Interview 003,Identified through global analysis,6,"Interview 003, Interview 004, Interview 005, Interview 013, Interview 015, Interview 018",Interview 014
AI_APP_003_003,AI Literature Synthesis,Interview 001,Identified through global analysis,10,"Interview 001, Interview 004, Interview 005, Interview 007, Interview 008, Interview 009, Interview 010, Interview 011, Interview 016, Interview 018",Interview 014
AI_APP_004,AI Proposal Writing,Interview 005,Identified through global analysis,6,"Interview 005, Interview 008, Interview 009, Interview 013, Interview 016, Interview 018",Interview 014
AI_APP_004_001,AI Outline Generation (Proposals),Interview 018,Identified through global analysis,1,Interview 018,Interview 014
AI_APP_004_002,AI Content Drafting (Proposals),Interview 005,Identified through global analysis,3,"Interview 005, Interview 016, Interview 018",Interview 014
AI_APP_004_003,AI Partner Identification,Interview 001,Identified through global analysis,3,"Interview 001, Interview 016, Interview 018",Interview 014
AI_APP_005,AI Wargaming,Interview 002,Identified through global analysis,4,"Interview 002, Interview 007, Interview 010, Interview 011",Interview 014
AI_APP_005_001,AI Scenario Generation (Wargaming),Interview 007,Identified through global analysis,2,"Interview 007, Interview 017",Interview 014
AI_APP_005_002,AI Adjudication/Player Roles (Wargaming),Interview 010,Identified through global analysis,2,"Interview 010, Interview 011",Interview 014
AI_APP_006,AI Dissemination,Interview 007,Identified through global analysis,4,"Interview 007, Interview 009, Interview 010, Interview 011",Interview 014
AI_APP_006_001,AI Content Adaptation (Dissemination),Interview 007,Identified through global analysis,3,"Interview 007, Interview 009, Interview 010, Interview 011",Interview 014
AI_APP_006_002,AI Formatting/Compliance,Interview 007,Identified through global analysis,3,"Interview 007, Interview 010, Interview 011, Interview 016",Interview 014
AI_APP_007,AI Project Management,Interview 003,Identified through global analysis,4,"Interview 003, Interview 005, Interview 012, Interview 018",Interview 014
AI_APP_007_001,AI Timeline Management,Interview 003,Identified through global analysis,1,Interview 003,Interview 014
AI_APP_007_002,AI Meeting Minutes,Interview 003,Identified through global analysis,3,"Interview 003, Interview 007, Interview 015",Interview 014
AI_APP_008,AI Forecasting,Interview 002,Identified through global analysis,3,"Interview 002, Interview 007, Interview 017",Interview 014
AI_APP_008_001,AI Question Formulation (Forecasting),Interview 007,Identified through global analysis,2,"Interview 007, Interview 017",Interview 014
AI_APP_008_002,AI Forecaster Modeling,Interview 017,Identified through global analysis,1,Interview 017,Interview 014
CHAL_001,AI Accuracy & Trust,Interview 001,Identified through global analysis,14,"Interview 001, Interview 003, Interview 004, Interview 005, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 016, Interview 017, Interview 018",Interview 014
CHAL_001_001,AI Nuance/Context Loss,Interview 001,Identified through global analysis,6,"Interview 001, Interview 004, Interview 005, Interview 008, Interview 013, Interview 014",Interview 014
CHAL_001_002,AI Hallucination,Interview 001,Identified through global analysis,5,"Interview 001, Interview 005, Interview 008, Interview 009, Interview 010, Interview 011",Interview 014
CHAL_002,AI Data Access & Security,Interview 003,Identified through global analysis,7,"Interview 003, Interview 004, Interview 006, Interview 010, Interview 011, Interview 012, Interview 015",Interview 014
CHAL_002_001,AI & Classified/CUI Data,Interview 003,Identified through global analysis,4,"Interview 003, Interview 010, Interview 011, Interview 015",Interview 014
CHAL_002_002,Data Fragmentation/Lakes,Interview 012,Identified through global analysis,2,"Interview 012, Interview 018",Interview 014
CHAL_003,AI Tool Proliferation,Interview 012,Identified through global analysis,2,"Interview 012, Interview 018",Interview 014
CHAL_004,AI Training Gaps,Interview 003,Identified through global analysis,6,"Interview 003, Interview 005, Interview 012, Interview 014, Interview 016, Interview 018",Interview 014
CHAL_005,AI Ethical Concerns,Interview 001,Identified through global analysis,5,"Interview 001, Interview 006, Interview 008, Interview 014, Interview 016",Interview 014
CHAL_005_001,AI & Bias/IP,Interview 005,Identified through global analysis,2,"Interview 005, Interview 014",Interview 014
CHAL_006,Institutional Resistance,Interview 004,Identified through global analysis,4,"Interview 004, Interview 005, Interview 010, Interview 011",Interview 014
BEN_001,AI Efficiency & Speed,Interview 001,Identified through global analysis,12,"Interview 001, Interview 003, Interview 004, Interview 005, Interview 007, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 016, Interview 018",Interview 014
BEN_002,AI Capacity & Scalability,Interview 004,Identified through global analysis,4,"Interview 004, Interview 006, Interview 017, Interview 018",Interview 014
BEN_003,AI Idea Generation,Interview 007,Identified through global analysis,4,"Interview 007, Interview 008, Interview 009, Interview 014",Interview 014
QUAL_001,Human-AI Interface,Interview 004,Identified through global analysis,10,"Interview 004, Interview 005, Interview 008, Interview 009, Interview 010, Interview 011, Interview 012, Interview 013, Interview 014, Interview 018",Interview 014
QUAL_001_001,AI Validation Standards,Interview 001,Identified through global analysis,6,"Interview 001, Interview 004, Interview 006, Interview 008, Interview 013, Interview 016",Interview 014
QUAL_002,Loss of Data Intimacy,Interview 001,Identified through global analysis,4,"Interview 001, Interview 013, Interview 014, Interview 018",Interview 014
QUAL_003,AI Publication Validity,Interview 009,Identified through global analysis,1,Interview 009,Interview 014
INST_001,Centralized AI Guidance,Interview 002,Identified through global analysis,6,"Interview 002, Interview 004, Interview 005, Interview 012, Interview 014, Interview 016",Interview 014
INST_002,Improved AI Training,Interview 005,Identified through global analysis,5,"Interview 005, Interview 012, Interview 014, Interview 016, Interview 018",Interview 014
INST_003,Build vs. Buy AI Tools,Interview 007,Identified through global analysis,3,"Interview 007, Interview 012, Interview 018",Interview 014
INST_004,AI Incentive Structures,Interview 007,Identified through global analysis,2,"Interview 007, Interview 012",Interview 014
INST_005,AI Tool Budget,Interview 012,Identified through global analysis,1,Interview 012,Interview 014
