code_id,name,definition,frequency,first_appearance,theme_id,parent_code_id,hierarchy_level
AI_APPLICATIONS,AI Applications,Specific ways AI is being or could be applied to research methods.,18,Interview 001,THEME_001,,0
AI_RESEARCH_QUALITY,AI and Research Quality,"Discussions and concerns regarding AI's impact on the quality, rigor, and trustworthiness of research.",18,Interview 001,THEME_004,,0
BENEFITS_AI_ADOPTION,Benefits of AI Adoption,Perceived advantages and positive impacts of integrating AI into research methods.,18,Interview 001,THEME_003,,0
CHALLENGES_AI_ADOPTION,Challenges of AI Adoption,Obstacles and difficulties encountered in the adoption and effective use of AI in research.,18,Interview 001,THEME_002,,0
FUTURE_IMPACT_AI,Future Impact of AI,"Speculations and concerns about the long-term impact of AI on research roles, competitiveness, and the nature of knowledge work.",18,Interview 001,THEME_006,,0
INSTITUTIONAL_STRATEGY,Institutional Strategy & Support,"Ideas and recommendations for Rand's institutional approach to AI adoption, support, and investment.",18,Interview 002,THEME_005,,0
AI_APP_001,  AI Qualitative Analysis,AI applications in qualitative data analysis.,12,Interview 001,THEME_001,AI_APPLICATIONS,1
AI_APP_002,  AI Quantitative Analysis,AI applications in quantitative data analysis and modeling.,10,Interview 001,THEME_001,AI_APPLICATIONS,1
AI_APP_003,  AI Literature Review,Using AI to assist with literature reviews and document analysis.,15,Interview 001,THEME_001,AI_APPLICATIONS,1
AI_APP_004,  AI Proposal Writing,Using AI to assist with proposal writing.,6,Interview 005,THEME_001,AI_APPLICATIONS,1
AI_APP_005,  AI Wargaming,Using AI in wargaming and tabletop exercises.,4,Interview 002,THEME_001,AI_APPLICATIONS,1
AI_APP_006,  AI Dissemination,Using AI to assist with research dissemination and communication.,4,Interview 007,THEME_001,AI_APPLICATIONS,1
AI_APP_007,  AI Project Management,Using AI for general project management tasks.,4,Interview 003,THEME_001,AI_APPLICATIONS,1
AI_APP_008,  AI Forecasting,Using AI for forecasting and predictive analysis.,3,Interview 002,THEME_001,AI_APPLICATIONS,1
QUAL_001,  Human-AI Interface,The necessity of human oversight and interaction with AI tools to ensure quality and rigor.,10,Interview 004,THEME_004,AI_RESEARCH_QUALITY,1
QUAL_002,  Loss of Data Intimacy,Concerns that AI use might lead to a loss of researcher's intimacy or deep understanding of the data.,4,Interview 001,THEME_004,AI_RESEARCH_QUALITY,1
QUAL_003,  AI Publication Validity,Challenges related to publishing AI-assisted research in scientific journals due to validity concerns.,1,Interview 009,THEME_004,AI_RESEARCH_QUALITY,1
BEN_001,  AI Efficiency & Speed,AI's ability to significantly increase efficiency and speed in research tasks.,12,Interview 001,THEME_003,BENEFITS_AI_ADOPTION,1
BEN_002,  AI Capacity & Scalability,AI's potential to increase research capacity and scalability.,4,Interview 004,THEME_003,BENEFITS_AI_ADOPTION,1
BEN_003,  AI Idea Generation,"AI's utility in generating new ideas, hypotheses, or perspectives.",4,Interview 007,THEME_003,BENEFITS_AI_ADOPTION,1
CHAL_001,  AI Accuracy & Trust,"Concerns about the accuracy, trustworthiness, or potential for hallucination in AI outputs.",14,Interview 001,THEME_002,CHALLENGES_AI_ADOPTION,1
CHAL_002,  AI Data Access & Security,"Challenges related to data access, security, and management for AI tools.",7,Interview 003,THEME_002,CHALLENGES_AI_ADOPTION,1
CHAL_003,  AI Tool Proliferation,Challenges related to the proliferation of AI tools and the time/effort to learn them.,2,Interview 012,THEME_002,CHALLENGES_AI_ADOPTION,1
CHAL_004,  AI Training Gaps,Gaps in training and education for Rand researchers on how to effectively and ethically use AI.,6,Interview 003,THEME_002,CHALLENGES_AI_ADOPTION,1
CHAL_005,  AI Ethical Concerns,"Concerns about the ethical implications of using AI in research, including consent and bias.",5,Interview 001,THEME_002,CHALLENGES_AI_ADOPTION,1
CHAL_006,  Institutional Resistance,"Institutional resistance or hesitation to adopt AI, stemming from various factors.",4,Interview 004,THEME_002,CHALLENGES_AI_ADOPTION,1
FUT_001,  AI Job Displacement,Concerns about AI potentially displacing human jobs in research.,3,Interview 001,THEME_006,FUTURE_IMPACT_AI,1
FUT_002,  AI Role Transformation,"The idea that AI will transform researcher roles, requiring new skills or focus.",2,Interview 012,THEME_006,FUTURE_IMPACT_AI,1
FUT_003,  Red Queen Scenario,"The 'Red Queen' effect, where AI adoption leads to everyone running faster just to stay in the same place competitively.",1,Interview 001,THEME_006,FUTURE_IMPACT_AI,1
FUT_004,  New AI Product Models,"New models for Rand's research products, potentially involving AI-driven expert systems or conversational interfaces.",1,Interview 018,THEME_006,FUTURE_IMPACT_AI,1
INST_001,  Centralized AI Guidance,"The need for clear, centralized guidance and policies on AI use at Rand.",6,Interview 002,THEME_005,INSTITUTIONAL_STRATEGY,1
INST_002,  Improved AI Training,The need for improved AI training programs for Rand researchers.,5,Interview 005,THEME_005,INSTITUTIONAL_STRATEGY,1
INST_003,  Build vs. Buy AI Tools,Discussion on whether Rand should build its own AI tools or license/buy commercial ones.,3,Interview 007,THEME_005,INSTITUTIONAL_STRATEGY,1
