quote_id,text,speaker,interview_id,interview_name,line_number,code_ids,theme_ids
Q001,"I mean, I've taken stuff from ranch at and then I've and and other models and incorporated it to research products. I'll I'll give you an example. The Department of Defense asked us to think about some alternative China scenarios, so I asked the China team and we got some really important and thoughtful ideas from the China team. Some frontier AI models also had some pretty interesting ideas. So our response was a blend of the two, but it can do, you know, quote UN quote creative work or interesting work. If you, if you if you pump it the right way, you know, prime it the right way.","Jim Mitre, GER leadership",INT_007,,0,CODE_003;CODE_005;CODE_009,THEME_001
Q002,"What I've seen with Muse is that yes, there are still some weaknesses with sometimes over interpretation of excerpts or under interpretation, inability to notice subtleties in sarcasm or phrasing. Is that because it's so much faster you can load way and analyze way more documents. So depending what you're looking for, if you're looking for sort of a gist of a pattern and a very large data set, it's just so much quicker. Than it used to be. So I think you can iterate on large data sets much more quickly and and I've seen it take essentially what would be like a 20 days of Labor task and turn it into a one day of Labor task for one individual.","Ryan Brown, Qualitative Researcher",INT_004,,0,CODE_002;CODE_004;CODE_005,THEME_001
Q003,"Like Can you imagine? A world where, like AI could feed in information about the kind of participants you're looking for. And AI could crawl the Internet to find them. Invite them to participate and then find a time on your calendar for the interview. Period.","Joie Acosta, Psychologist",INT_001,,0,CODE_006;CODE_007;CODE_005,THEME_001
Q004,"I write a lot of code so the the quant code right we talked about call coding. AI has been really helpful with writing like any type of code I write primarily in Python, and I mentioned right? I'm a new hire, so I joined a project, you know, trying to make a good first impression here at Rand. And they're like, oh, Caroline, you know, P. Like can you do this? And I had no idea how to do this, but I was like, well, I know how to read Python code. I don't know how to, you know, write this from scratch, necessarily. But you know, I used to get me a good start, you know, kind of figure out how to write it.","Caroline Johnston, Associate Operations Researcher",INT_003,,0,CODE_005;CODE_011,THEME_001
Q005,"It's a really silly example, but meeting minutes like just having AI transcribed the meeting minutes put it in like here are the key decisions. Here are the action items. Like right now I have an RA do that right. That's if I've been experimenting with having a recording the meeting and having AI do it. But again, I think that's a very simple use case scenario.","Katherine Watkins, Clinician",INT_003,,0,CODE_001;CODE_003;CODE_005,THEME_001
Q006,"I mean, I just had the this experience on a project. Where we were using expert lens and expert lenses, integrating AI now to kind of go through and give a synopsis of what everybody says for the different questions or topics that you're asking about. And you know, and and then the synopsis aren't bad. But I was finding that it was it was difficult for me to like a just inherently trust what it was spitting out in a way that maybe you want to just like take it and use it to draw further conclusions. And then we found when you know going back and rereading it, that there were definitely, like, nuances that were missed and things that, you know were not picked up that were relevant to our project.","Ramya Chari, Jack of all trades (Environmental Health/CBPR)",INT_001,,0,CODE_012;CODE_015;CODE_014,THEME_002
Q007,"I used Muse once to sort of check we had already coded all the data and so we use it as kind of an additional check and I think I agree with what Ramya has said, like it missed anything that was nuanced. It sort of wasn't picking up on things. I say this as someone who's sort of AI naive like I I'm sure I could have programmed it better or given it better prompts. Or asked in different ways, but at that point I feel like it's faster to just do it myself, so I just feel like it's not quite doing what I want it to do and I don't know how to get it to do what I want it to.","Sara McCleskey, Associate Policy Researcher (Health)",INT_001,,0,CODE_013;CODE_012;CODE_015;CODE_014,THEME_002
Q008,"One of the things researchers are increasingly concerned about is data mining, which is going into a data set and just, you know, looking at all these different options. Running 100 running 100 analysis to see which one is that, David, that's. Yeah, yeah. And see which one's the best right. And. And so increasingly, we're guarding against that in some cases by pre filing, you know, an analytic plans that say this is how we are going to use the data. And then when we go to publish, we say. You know, I didn't go beyond what I planned to look at. I wasn't trying just to mine the data other ways in which we have to correct our standard errors for the. Multiple hypothesis testing.","Lynn Karoly, Senior Economist",INT_003,,0,CODE_014,THEME_002
Q009,The risk is that we will end up utilizing AI for stuff our junior folks used to do. We can use AI for a literature review that would have taken a RA 20 days so benefits of cost savings but I worry about career development and skillset development among the younger folks.,"Molly Dunnigan, Arroyo SDR",INT_002,,0,CODE_014,THEME_002
Q010,"I mean, I asked Ryan's chat to give me some citations for our Africa work, and I think all four of them are fabricated. So. At least there's no such thing on the Internet with those titles. That really concerns me.","Todd Helmus, Qualitative Researcher",INT_010,,0,CODE_015;CODE_013;CODE_014,THEME_002
Q011,"I mean, I am less skeptical, I guess of current capabilities for analysis, which is the most. The most burdensome usually. Stage of qualitative analysis and the most expensive because right now to do it well, we do it with teams of people. We do simultaneous codebook development, long conferences to synthesize, we do. You know, manual creation of Capas for intercoder reliability. What I've seen with Muse. Is that yes, there are still some weaknesses with sometimes over interpretation of excerpts or under interpretation, inability to notice subtleties in sarcasm or phrasing. Is that because it's so much faster you can load? Way and analyze way more documents. So depending what you're looking for, if you're looking for sort of a gist of a pattern and a very large data set, it's just so much quicker. Than it used to be. So I think you can iterate on large data sets much more quickly and and I've seen it take essentially what would be like a 20 days of Labor task and turn it into a one day of Labor task for one individual.","Ryan Brown, Qualitative Researcher",INT_004,,0,CODE_002;CODE_004,THEME_003
Q012,"I've also done things for proposal writing and taken my idea where I want to use a particular design and poke holes in this; What are the problems with this; how can I strengthen this? like I can take the abstract I’ve written up and I want to study this policy that was implemented on impacts of y variable and I am going to use this synthetic control method, tell me what I’m missing or how… I’ve used the RAND Chat and I’ve used Claude.","Kandice Kapinos, Director Methods Center for Causal Inference",INT_005,,0,CODE_005,THEME_003
